"","V1","V2","V3"
"1","https://m.elmostrador.cl/dia/2019/06/29/ximena-rincon-suena-con-la-moneda-me-veo-entrando-como-presidenta/","DC","29-6-2019"
"2","https://m.elmostrador.cl/dia/2019/06/29/ximena-rincon-suena-con-la-moneda-me-veo-entrando-como-presidenta/","La Moneda","29-6-2019"
"3","https://m.elmostrador.cl/dia/2019/06/29/ximena-rincon-suena-con-la-moneda-me-veo-entrando-como-presidenta/","Ximena Rincón","29-6-2019"
"4","https://m.elmostrador.cl/dia/2019/06/29/funcionarios-del-mineduc-realizaran-paro-de-24-horas-en-solidaridad-con-movilizacion-docente/","Marcela Cubillos","29-6-2019"
"5","https://m.elmostrador.cl/dia/2019/06/29/funcionarios-del-mineduc-realizaran-paro-de-24-horas-en-solidaridad-con-movilizacion-docente/","Ministerio de Educación","29-6-2019"
"6","https://m.elmostrador.cl/dia/2019/06/29/funcionarios-del-mineduc-realizaran-paro-de-24-horas-en-solidaridad-con-movilizacion-docente/","Paro docente","29-6-2019"
"7","https://m.elmostrador.cl/cultura/2019/06/29/libro-enfermedades-preciosas-una-bitacora-del-trabajo-de-la-artista-cecilia-avendano/","Artes Visuales","29-6-2019"
"8","https://m.elmostrador.cl/cultura/2019/06/29/libro-enfermedades-preciosas-una-bitacora-del-trabajo-de-la-artista-cecilia-avendano/","Artista Cecilia Avendaño","29-6-2019"
"9","https://m.elmostrador.cl/cultura/2019/06/29/libro-enfermedades-preciosas-una-bitacora-del-trabajo-de-la-artista-cecilia-avendano/","libro ""Enfermedades preciosas""","29-6-2019"
"10","https://m.elmostrador.cl/dia/2019/06/29/fallecio-el-director-de-quinenco-gonzalo-menendez-duque-mano-derecha-de-luksic/","Andrónico Luksic Abaroa","29-6-2019"
"11","https://m.elmostrador.cl/dia/2019/06/29/fallecio-el-director-de-quinenco-gonzalo-menendez-duque-mano-derecha-de-luksic/","Andrónico Luksic Craig","29-6-2019"
"12","https://m.elmostrador.cl/dia/2019/06/29/fallecio-el-director-de-quinenco-gonzalo-menendez-duque-mano-derecha-de-luksic/","Banco de Chile","29-6-2019"
"13","https://m.elmostrador.cl/dia/2019/06/29/fallecio-el-director-de-quinenco-gonzalo-menendez-duque-mano-derecha-de-luksic/","Caso Lucchetti","29-6-2019"
"14","https://m.elmostrador.cl/dia/2019/06/29/fallecio-el-director-de-quinenco-gonzalo-menendez-duque-mano-derecha-de-luksic/","Gonzalo Menéndez Duque","29-6-2019"
"15","https://m.elmostrador.cl/dia/2019/06/29/fallecio-el-director-de-quinenco-gonzalo-menendez-duque-mano-derecha-de-luksic/","Quiñenco","29-6-2019"
"16","https://m.elmostrador.cl/dia/2019/06/29/yoapoyoaarias-la-entrevista-que-desato-toda-la-solidaridad-con-el-arquero-de-la-roja/","Copa América","29-6-2019"
"17","https://m.elmostrador.cl/dia/2019/06/29/yoapoyoaarias-la-entrevista-que-desato-toda-la-solidaridad-con-el-arquero-de-la-roja/","Gabriel Arias","29-6-2019"
"18","https://m.elmostrador.cl/dia/2019/06/29/yoapoyoaarias-la-entrevista-que-desato-toda-la-solidaridad-con-el-arquero-de-la-roja/","La Roja","29-6-2019"
"19","https://m.elmostrador.cl/dia/2019/06/29/yoapoyoaarias-la-entrevista-que-desato-toda-la-solidaridad-con-el-arquero-de-la-roja/","Selección Chilena","29-6-2019"
"20","https://m.elmostrador.cl/dia/2019/06/29/yasna-provoste-dispara-contra-chahin-y-califica-de-ambiguo-el-acuerdos-de-la-dc-con-la-moneda-por-reforma-tributaria/",NA,"29-6-2019"
"21","https://m.elmostrador.cl/dia/2019/06/29/se-levanta-parcialmente-el-veto-trump-anuncia-que-empresas-de-ee-uu-podran-vender-productos-a-huawei/","China","29-6-2019"
"22","https://m.elmostrador.cl/dia/2019/06/29/se-levanta-parcialmente-el-veto-trump-anuncia-que-empresas-de-ee-uu-podran-vender-productos-a-huawei/","EEUU","29-6-2019"
"23","https://m.elmostrador.cl/dia/2019/06/29/se-levanta-parcialmente-el-veto-trump-anuncia-que-empresas-de-ee-uu-podran-vender-productos-a-huawei/","Huawei","29-6-2019"
"24","https://m.elmostrador.cl/dia/2019/06/29/se-levanta-parcialmente-el-veto-trump-anuncia-que-empresas-de-ee-uu-podran-vender-productos-a-huawei/","Trump","29-6-2019"
"25","https://m.elmostrador.cl/dia/2019/06/29/cruda-realidad-1-600-ninos-migrantes-murieron-o-desaparecieron-en-los-ultimos-cinco-anos/","Infancia","29-6-2019"
"26","https://m.elmostrador.cl/dia/2019/06/29/cruda-realidad-1-600-ninos-migrantes-murieron-o-desaparecieron-en-los-ultimos-cinco-anos/","migrantes","29-6-2019"
"27","https://m.elmostrador.cl/dia/2019/06/29/cruda-realidad-1-600-ninos-migrantes-murieron-o-desaparecieron-en-los-ultimos-cinco-anos/","Niños","29-6-2019"
"28","https://m.elmostrador.cl/dia/2019/06/29/cruda-realidad-1-600-ninos-migrantes-murieron-o-desaparecieron-en-los-ultimos-cinco-anos/","OIM","29-6-2019"
"29","https://m.elmostrador.cl/cultura/2019/06/29/retrato-y-autorretrato-en-fuerza-bruta-de-maha-vial/","Ediciones Kultrún","29-6-2019"
"30","https://m.elmostrador.cl/cultura/2019/06/29/retrato-y-autorretrato-en-fuerza-bruta-de-maha-vial/","Escritora Maha Vial","29-6-2019"
"31","https://m.elmostrador.cl/cultura/2019/06/29/retrato-y-autorretrato-en-fuerza-bruta-de-maha-vial/","Libro “Fuerza Bruta”","29-6-2019"
"32","https://m.elmostrador.cl/noticias/deportes/2019/06/29/reinaldo-rueda-se-resigna-contra-el-var-que-hizo-sufrir-a-chile-hay-que-acostumbrarse-a-que-quite-espontaneidad/","Reinaldo Rueda","29-6-2019"
"33","https://m.elmostrador.cl/noticias/deportes/2019/06/29/reinaldo-rueda-se-resigna-contra-el-var-que-hizo-sufrir-a-chile-hay-que-acostumbrarse-a-que-quite-espontaneidad/","VAR","29-6-2019"
"34","https://m.elmostrador.cl/dia/2019/06/29/la-union-europea-y-el-mercosur-firman-el-mayor-acuerdo-comercial-de-su-historia-tras-20-anos-de-negociaciones/","Mercosur","29-6-2019"
"35","https://m.elmostrador.cl/dia/2019/06/29/la-union-europea-y-el-mercosur-firman-el-mayor-acuerdo-comercial-de-su-historia-tras-20-anos-de-negociaciones/","UE","29-6-2019"
"36","https://m.elmostrador.cl/dia/2019/06/29/la-union-europea-y-el-mercosur-firman-el-mayor-acuerdo-comercial-de-su-historia-tras-20-anos-de-negociaciones/","Unión Europea","29-6-2019"
"37","https://m.elmostrador.cl/cultura/2019/06/29/el-diario-de-francisca-el-conmovedor-relato-de-una-nina-sobre-el-golpe-y-el-regimen-militar-de-pinochet-en-chile/","Francisca Márquez","29-6-2019"
"38","https://m.elmostrador.cl/cultura/2019/06/29/el-diario-de-francisca-el-conmovedor-relato-de-una-nina-sobre-el-golpe-y-el-regimen-militar-de-pinochet-en-chile/","Golpe de Estado","29-6-2019"
"39","https://m.elmostrador.cl/cultura/2019/06/29/el-diario-de-francisca-el-conmovedor-relato-de-una-nina-sobre-el-golpe-y-el-regimen-militar-de-pinochet-en-chile/","Historia","29-6-2019"
"40","https://m.elmostrador.cl/cultura/2019/06/29/el-diario-de-francisca-el-conmovedor-relato-de-una-nina-sobre-el-golpe-y-el-regimen-militar-de-pinochet-en-chile/","Infancia","29-6-2019"
"41","https://m.elmostrador.cl/cultura/2019/06/29/el-diario-de-francisca-el-conmovedor-relato-de-una-nina-sobre-el-golpe-y-el-regimen-militar-de-pinochet-en-chile/","Libro El diario de Francisca","29-6-2019"
"42","https://m.elmostrador.cl/dia/2019/06/28/la-especialidad-de-la-casa-chile-clasifica-a-semifinales-de-la-copa-america-tras-derrotar-a-colombia-y-al-var-en-penales/","Chile","28-6-2019"
"43","https://m.elmostrador.cl/dia/2019/06/28/la-especialidad-de-la-casa-chile-clasifica-a-semifinales-de-la-copa-america-tras-derrotar-a-colombia-y-al-var-en-penales/","Colombia","28-6-2019"
"44","https://m.elmostrador.cl/dia/2019/06/28/la-especialidad-de-la-casa-chile-clasifica-a-semifinales-de-la-copa-america-tras-derrotar-a-colombia-y-al-var-en-penales/","Copa América","28-6-2019"
"45","https://m.elmostrador.cl/dia/2019/06/28/la-especialidad-de-la-casa-chile-clasifica-a-semifinales-de-la-copa-america-tras-derrotar-a-colombia-y-al-var-en-penales/","penales","28-6-2019"
"46","https://m.elmostrador.cl/dia/2019/06/28/la-especialidad-de-la-casa-chile-clasifica-a-semifinales-de-la-copa-america-tras-derrotar-a-colombia-y-al-var-en-penales/","VAR","28-6-2019"
"47","https://m.elmostrador.cl/cultura/2019/06/28/inmobiliaria-valora-decision-del-consejo-de-monumentos-nacionales-de-aprobar-su-propuesta-en-ex-villa-san-luis/","ex villa San Luis de Las Condes","28-6-2019"
